rate,profile,source,candidate,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,outside_band_energy_fraction,reference_convergence_relative_rms,reference_qualified,error_budget_pass
48000,reference,A1,farrow7-fir32,0.39905141763920077,0.2860855035946783,0.3721468143457907,True,0.003502134298126362,5.298144520316694e-06,True,False
48000,reference,A1,vfd-ls32,0.39904976146447996,0.28608470409199277,0.3721451829093039,True,0.003502134298126362,5.298144520316694e-06,True,False
48000,reference,A1,vfd-ls64,16.85648873644097,10.213854297836466,16.829299910975674,True,0.003502134298126362,5.298144520316694e-06,True,False
48000,reference,A1,sinc129-noncausal-control,0.011411258659936842,0.0024751423768422,0.008904906619439094,True,0.003502134298126362,5.298144520316694e-06,True,False
48000,reference,B1,lagrange3,0.0019449672713899603,0.00806626867345269,0.0018839277696980725,True,1.9707895406382525e-06,1.9311829882401199e-07,True,True
48000,reference,B1,lagrange7,0.003145846256715097,0.016031705442672954,0.001869010922941833,True,1.9707895406382525e-06,1.9311829882401199e-07,True,False
48000,reference,B1,lagrange15,0.06941188059017415,0.3442290765050356,0.06783738062534016,True,1.9707895406382525e-06,1.9311829882401199e-07,True,False
48000,reference,B1,farrow7-fir32,0.036339012160834454,0.0585048079681849,0.034950087390980114,True,1.9707895406382525e-06,1.9311829882401199e-07,True,False
48000,reference,B1,vfd-ls32,0.036338910454825506,0.05850456853922936,0.03494998830958978,True,1.9707895406382525e-06,1.9311829882401199e-07,True,False
48000,reference,B1,vfd-ls64,0.4301651932060273,0.924409502628075,0.42965037296875164,True,1.9707895406382525e-06,1.9311829882401199e-07,True,False
48000,reference,B1,sinc129-noncausal-control,0.00031931753783922336,0.00022900150258442888,0.0002984092175422427,True,1.9707895406382525e-06,1.9311829882401199e-07,True,True
48000,reference,AB,lagrange3,0.1682350313426326,0.1883228163678272,0.07170609622032253,True,0.003290092430614941,5.174103795946747e-06,True,False
48000,reference,AB,lagrange7,0.5745612570416126,0.8755481279438854,0.5089435366658469,True,0.003290092430614941,5.174103795946747e-06,True,False
48000,reference,AB,lagrange15,29.497812793107652,49.92325994614527,29.338873044005535,True,0.003290092430614941,5.174103795946747e-06,True,False
48000,reference,AB,farrow7-fir32,0.3868689157938286,0.2860855247370071,0.3608037695532404,True,0.003290092430614941,5.174103795946747e-06,True,False
48000,reference,AB,vfd-ls32,0.3868673104527503,0.28608472523434164,0.3608021880748193,True,0.003290092430614941,5.174103795946747e-06,True,False
48000,reference,AB,vfd-ls64,16.3378939210987,10.213854068571708,16.311627515996317,True,0.003290092430614941,5.174103795946747e-06,True,False
48000,reference,AB,sinc129-noncausal-control,0.011059269389870667,0.0024751730051679136,0.008624304329817568,True,0.003290092430614941,5.174103795946747e-06,True,False
48000,edge,A1,lagrange3,0.350677097996227,0.45199855058095717,0.1773473145498655,True,0.01380148859535796,1.07124338740753e-05,True,False
48000,edge,A1,lagrange7,1.2505207510365053,2.1095340987798235,1.114490123294023,True,0.01380148859535796,1.07124338740753e-05,True,False
48000,edge,A1,lagrange15,64.32364430255423,120.06941031105188,63.8587289330694,True,0.01380148859535796,1.07124338740753e-05,True,False
48000,edge,A1,farrow7-fir32,0.7885096454830635,0.6625208200525606,0.7351312326145779,True,0.01380148859535796,1.07124338740753e-05,True,False
48000,edge,A1,vfd-ls32,0.7885062264185029,0.6625176431142795,0.7351278493242448,True,0.01380148859535796,1.07124338740753e-05,True,False
48000,edge,A1,vfd-ls64,33.438800129528545,23.579609957948787,33.38507262052356,True,0.01380148859535796,1.07124338740753e-05,True,False
48000,edge,A1,sinc129-noncausal-control,0.0223953755101863,0.005692263100200699,0.01728936604905682,True,0.01380148859535796,1.07124338740753e-05,True,False
48000,edge,B1,lagrange3,0.44179315091437843,0.42811528630760237,0.4347561842122149,True,0.018767895003885024,1.7697499091914918e-05,True,False
48000,edge,B1,lagrange7,0.6474477171339903,0.49976929070104503,0.4793015638060396,True,0.018767895003885024,1.7697499091914918e-05,True,False
48000,edge,B1,lagrange15,12.119194417127588,11.268680223240542,11.019676892700364,True,0.018767895003885024,1.7697499091914918e-05,True,False
48000,edge,B1,farrow7-fir32,1.0636544342991168,0.6792731793670886,1.0288890639375736,True,0.018767895003885024,1.7697499091914918e-05,True,False
48000,edge,B1,vfd-ls32,1.0636512055915666,0.6792720612221581,1.0288858123035878,True,0.018767895003885024,1.7697499091914918e-05,True,False
48000,edge,B1,vfd-ls64,40.90848405072726,23.37305398861981,40.86159264800154,True,0.018767895003885024,1.7697499091914918e-05,True,False
48000,edge,B1,sinc129-noncausal-control,0.029499388376900044,0.005649243601902398,0.02759928952979686,True,0.018767895003885024,1.7697499091914918e-05,True,False
48000,edge,AB,lagrange3,0.35067711496508774,0.4519985419876166,0.17734834892428694,True,0.013801516328140476,1.07197871378137e-05,True,False
