rate,conditioner,kernel,profile,block,mean_us,p95_us,p99_us,max_us,state_bytes,observed_allocations,reset_partition_exact,measured_blocks,total_latency_samples,scope
48000,fir65-fc20000,kaiser-g16,sustained-edge,32,5.96,6,6,6,1087680,0,true,5,48,candidate and harness only; not plugin budget
48000,fir65-fc20000,kaiser-g16,sustained-edge,64,11.94,12,12,12,1087680,0,true,5,48,candidate and harness only; not plugin budget
48000,fir65-fc20000,kaiser-g16,sustained-edge,128,23.98,24.6,24.6,24.6,1087680,0,true,5,48,candidate and harness only; not plugin budget
48000,fir65-fc20000,kaiser-g16,sustained-edge,256,47.68,48,48,48,1087680,0,true,5,48,candidate and harness only; not plugin budget
48000,fir65-fc20000,kaiser-g16,sustained-edge,257,47.96,48.2,48.2,48.2,1087680,0,true,5,48,candidate and harness only; not plugin budget
48000,fir65-fc20000,kaiser-g16,sustained-edge,512,103.12,112.7,112.7,112.7,1087680,0,true,5,48,candidate and harness only; not plugin budget
48000,fir65-fc20000,kaiser-g16,sustained-edge,1024,218.32,280.7,280.7,280.7,1087680,0,true,5,48,candidate and harness only; not plugin budget
96000,butter4-fc20000,kaiser-g8,reference,32,2.22,2.3,2.3,2.3,562904,0,true,5,8,candidate and harness only; not plugin budget
96000,butter4-fc20000,kaiser-g8,reference,64,4.54,5.1,5.1,5.1,562904,0,true,5,8,candidate and harness only; not plugin budget
96000,butter4-fc20000,kaiser-g8,reference,128,8.84,8.9,8.9,8.9,562904,0,true,5,8,candidate and harness only; not plugin budget
96000,butter4-fc20000,kaiser-g8,reference,256,17.86,18.1,18.1,18.1,562904,0,true,5,8,candidate and harness only; not plugin budget
96000,butter4-fc20000,kaiser-g8,reference,257,17.96,18.3,18.3,18.3,562904,0,true,5,8,candidate and harness only; not plugin budget
96000,butter4-fc20000,kaiser-g8,reference,512,38.24,47.9,47.9,47.9,562904,0,true,5,8,candidate and harness only; not plugin budget
96000,butter4-fc20000,kaiser-g8,reference,1024,72.3,74.8,74.8,74.8,562904,0,true,5,8,candidate and harness only; not plugin budget
96000,butter4-fc20000,kaiser-g8,edge,32,2.22,2.3,2.3,2.3,562904,0,true,5,8,candidate and harness only; not plugin budget
96000,butter4-fc20000,kaiser-g8,edge,64,4.4,4.4,4.4,4.4,562904,0,true,5,8,candidate and harness only; not plugin budget
96000,butter4-fc20000,kaiser-g8,edge,128,8.8,8.9,8.9,8.9,562904,0,true,5,8,candidate and harness only; not plugin budget
96000,butter4-fc20000,kaiser-g8,edge,256,23.06,35.9,35.9,35.9,562904,0,true,5,8,candidate and harness only; not plugin budget
96000,butter4-fc20000,kaiser-g8,edge,257,21.1,34.7,34.7,34.7,562904,0,true,5,8,candidate and harness only; not plugin budget
96000,butter4-fc20000,kaiser-g8,edge,512,39.5,55.8,55.8,55.8,562904,0,true,5,8,candidate and harness only; not plugin budget
96000,butter4-fc20000,kaiser-g8,edge,1024,74.92,87.7,87.7,87.7,562904,0,true,5,8,candidate and harness only; not plugin budget
96000,butter4-fc20000,kaiser-g8,overlap-reference,32,2.3966,2.6,3.6,40.1,562904,0,true,500,8,candidate and harness only; not plugin budget
96000,butter4-fc20000,kaiser-g8,overlap-reference,64,5.5612,7.3,9,52.2,562904,0,true,500,8,candidate and harness only; not plugin budget
96000,butter4-fc20000,kaiser-g8,overlap-reference,128,9.1478,9.7,10.2,39.4,562904,0,true,500,8,candidate and harness only; not plugin budget
96000,butter4-fc20000,kaiser-g8,overlap-reference,256,18.299,18.7,23,52.2,562904,0,true,500,8,candidate and harness only; not plugin budget
96000,butter4-fc20000,kaiser-g8,overlap-reference,257,18.4162,18.8,23.9,45.9,562904,0,true,500,8,candidate and harness only; not plugin budget
96000,butter4-fc20000,kaiser-g8,overlap-reference,512,36.3282,36.7,63.5,68.5,562904,0,true,500,8,candidate and harness only; not plugin budget
96000,butter4-fc20000,kaiser-g8,overlap-reference,1024,72.3488,77.7,103.1,107.2,562904,0,true,500,8,candidate and harness only; not plugin budget
96000,butter4-fc20000,kaiser-g8,sustained-edge,32,2.22,2.3,2.3,2.3,562904,0,true,5,8,candidate and harness only; not plugin budget
96000,butter4-fc20000,kaiser-g8,sustained-edge,64,6.96,7.1,7.1,7.1,562904,0,true,5,8,candidate and harness only; not plugin budget
96000,butter4-fc20000,kaiser-g8,sustained-edge,128,8.98,9.6,9.6,9.6,562904,0,true,5,8,candidate and harness only; not plugin budget
96000,butter4-fc20000,kaiser-g8,sustained-edge,256,17.72,18.4,18.4,18.4,562904,0,true,5,8,candidate and harness only; not plugin budget
96000,butter4-fc20000,kaiser-g8,sustained-edge,257,19.16,24.1,24.1,24.1,562904,0,true,5,8,candidate and harness only; not plugin budget
96000,butter4-fc20000,kaiser-g8,sustained-edge,512,35.38,36,36,36,562904,0,true,5,8,candidate and harness only; not plugin budget
96000,butter4-fc20000,kaiser-g8,sustained-edge,1024,70.86,71.4,71.4,71.4,562904,0,true,5,8,candidate and harness only; not plugin budget
96000,raw-control,kaiser-g64,reference,32,11.38,11.5,11.5,11.5,4233664,0,true,5,64,candidate and harness only; not plugin budget
