rate,conditioner,profile,source,next128_tail_peak_ratio,finite_window_pass
48000,fir65-fc20000,overlap-reference,A1,0.0,True
48000,fir65-fc20000,overlap-reference,B1,0.0,True
48000,fir65-fc20000,overlap-reference,AB,0.0,True
48000,fir65-fc20000,sustained-edge,A1,0.0,True
48000,fir65-fc20000,sustained-edge,B1,0.0,True
48000,fir65-fc20000,sustained-edge,AB,0.0,True
96000,raw-control,reference,A1,0.0,True
96000,raw-control,reference,B1,0.0,True
96000,raw-control,reference,AB,0.0,True
96000,raw-control,edge,A1,0.0,True
96000,raw-control,edge,B1,0.0,True
96000,raw-control,edge,AB,0.0,True
96000,raw-control,overlap-reference,A1,0.0,True
96000,raw-control,overlap-reference,B1,0.0,True
96000,raw-control,overlap-reference,AB,0.0,True
96000,raw-control,sustained-edge,A1,0.0,True
96000,raw-control,sustained-edge,B1,0.0,True
96000,raw-control,sustained-edge,AB,0.0,True
96000,butter4-fc20000,reference,A1,0.0,True
96000,butter4-fc20000,reference,B1,0.0,True
96000,butter4-fc20000,reference,AB,0.0,True
96000,butter4-fc20000,edge,A1,0.0,True
96000,butter4-fc20000,edge,B1,0.0,True
96000,butter4-fc20000,edge,AB,0.0,True
96000,butter4-fc20000,overlap-reference,A1,0.0,True
96000,butter4-fc20000,overlap-reference,B1,0.0,True
96000,butter4-fc20000,overlap-reference,AB,0.0,True
96000,butter4-fc20000,sustained-edge,A1,0.0,True
96000,butter4-fc20000,sustained-edge,B1,0.0,True
96000,butter4-fc20000,sustained-edge,AB,0.0,True
