rate,conditioner,profile,source,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,peak_ratio,first_nonzero_shift_samples,engineering_latency_removed
44100,fir65-p16000-s21609,reference,AB,0.01929325627677903,0.04323892113030323,0.019289069462156982,True,1.0228910873089303,0,32
44100,fir65-p16000-s21609,edge,A1,0.21312687852804663,0.200721738441739,0.21307222135132328,True,0.9644546116020021,0,32
44100,fir65-p16000-s21609,edge,B1,0.33999322371671686,0.22636087471287164,0.33990029086061574,True,0.8312750778477945,0,32
44100,fir65-p16000-s21609,edge,AB,0.21312690053377978,0.200721738441739,0.21307223546516857,True,0.9644546116020021,0,32
44100,fir65-p16000-s21609,overlap-reference,A1,0.002628415177965891,0.005481071253196463,0.0026279055393844497,True,1.0008294388593106,0,32
44100,fir65-p16000-s21609,overlap-reference,B1,0.0019237381097963425,0.006898202164229247,0.001923299861064142,True,1.0002413971411064,0,32
44100,fir65-p16000-s21609,overlap-reference,AB,0.0026283560171012892,0.005481071253196463,0.002627847063464197,True,1.0008294388593106,0,32
44100,fir65-p16000-s21609,sustained-edge,A1,0.11744342393927791,0.07244671068275244,0.11741580035735827,True,1.033986883767799,0,32
44100,fir65-p16000-s21609,sustained-edge,B1,0.33999321686984524,0.22636086820120907,0.33990028401421957,True,0.8312750867030707,0,32
44100,fir65-p16000-s21609,sustained-edge,AB,0.11744286827791096,0.07244671068275244,0.11741524620560125,True,1.033986883767799,0,32
44100,fir129-p16000-s21609,reference,A1,0.019815425569358676,0.04307601779518801,0.019812116493160063,True,1.0228366821892678,0,64
44100,fir129-p16000-s21609,reference,B1,0.0019759737581809323,0.006943001224392591,0.0019756167930530225,True,1.0000307216263797,0,64
44100,fir129-p16000-s21609,reference,AB,0.019790065082255788,0.04307601779518801,0.01978674123851016,True,1.0228366821892678,0,64
44100,fir129-p16000-s21609,edge,A1,0.21641760325007384,0.19202790881627949,0.21635066290466504,True,0.9652018033202121,0,64
44100,fir129-p16000-s21609,edge,B1,0.3416548080113711,0.20832113888181364,0.34158524601103624,True,0.8541312862692647,0,64
44100,fir129-p16000-s21609,edge,AB,0.21641762483445157,0.19202790881627949,0.21635067663343233,True,0.9652018033202121,0,64
44100,fir129-p16000-s21609,overlap-reference,A1,0.0027001223078574298,0.005443145760948911,0.0026996638312540983,True,1.0008115935314668,0,64
44100,fir129-p16000-s21609,overlap-reference,B1,0.001975974308964371,0.006943002303228867,0.0019756173447667176,True,1.0000307158780355,0,64
44100,fir129-p16000-s21609,overlap-reference,AB,0.002700025072544288,0.005443145760948911,0.002699567461783553,True,1.0008115935314668,0,64
44100,fir129-p16000-s21609,sustained-edge,A1,0.12031733358760423,0.06930883776766283,0.12028919531217853,True,1.0340358868665824,0,64
44100,fir129-p16000-s21609,sustained-edge,B1,0.3416548010055416,0.20832113425542434,0.3415852390072628,True,0.8541312947208602,0,64
44100,fir129-p16000-s21609,sustained-edge,AB,0.12031647657363323,0.06930883776766283,0.12028834042106157,True,1.0340358868665824,0,64
44100,iir-p18000-s19000,reference,A1,1.1693325939218853,1.6422427174761085,0.02201307565671061,True,0.9998397362132395,0,0
44100,iir-p18000-s19000,reference,B1,0.6147375384227711,0.6097473609167698,0.0021566229444687506,True,1.016921174173487,0,0
44100,iir-p18000-s19000,reference,AB,1.168238966564828,1.6422427174761085,0.021984875516918342,True,0.9998397362132395,0,0
44100,iir-p18000-s19000,edge,A1,1.3010379718940592,1.1376023718389787,0.25911891111306645,True,0.8430433194611818,0,0
44100,iir-p18000-s19000,edge,B1,1.3014819181962218,1.0472812963230858,0.500832137130939,True,0.3699857001498753,0,0
44100,iir-p18000-s19000,edge,AB,1.3010379719588197,1.1376023718389787,0.25911895199477464,True,0.8430433194611818,0,0
44100,iir-p18000-s19000,overlap-reference,A1,0.38563955226593283,0.387447359077139,0.0030116825140895625,True,0.9982394614424506,0,0
44100,iir-p18000-s19000,overlap-reference,B1,0.6147375384060897,0.6097473715446075,0.0021566232942436428,True,1.0169211442407577,0,0
44100,iir-p18000-s19000,overlap-reference,AB,0.3856414839569844,0.387447359077139,0.003011636064467138,True,0.9982394614424506,0,0
44100,iir-p18000-s19000,sustained-edge,A1,1.7057609231395496,1.8652580971357953,0.1387862566167153,True,1.0741017098944163,0,0
44100,iir-p18000-s19000,sustained-edge,B1,1.3014819205364445,1.0472812942228886,0.5008321328064274,True,0.369985701514944,0,0
44100,iir-p18000-s19000,sustained-edge,AB,1.7057599659034424,1.8652580971357953,0.13878576169151147,True,1.0741017098944163,0,0
44100,fir17-p18000-s19000,reference,A1,0.01851202346825296,0.05311285306928509,0.01851364007538274,True,1.02088090038475,0,8
44100,fir17-p18000-s19000,reference,B1,0.0017603833617743298,0.007826729107367666,0.0017605243394617591,True,1.0000633686715905,0,8
44100,fir17-p18000-s19000,reference,AB,0.018488309546692387,0.05311285306928509,0.018489906924364998,True,1.02088090038475,0,8
44100,fir17-p18000-s19000,edge,A1,0.22897665232156078,0.2545463793672195,0.22898269920748368,True,0.9471157185705564,0,8
44100,fir17-p18000-s19000,edge,B1,0.41293359859421497,0.3180850688587251,0.4129394243166472,True,0.6911956399287056,0,8
