rate,conditioner,order,pass_hz,stop_hz,latency_samples,latency_ms,pass_error_db,stop_max_db,response16_db,response18_db,response20_db,group_min_ms,group_max_ms,before_main_energy_fraction,after_main_energy_fraction,before_input_energy,ringing_span_ms,max_pole_radius,filter_screen_pass
48000,iir-p16000-s19000,17,16000,19000,0,0.0,0.10000000000001155,-62.09601319594163,-0.10000000000001155,-32.707701331675196,-97.02380568747776,0.058356946068810076,0.3952771130264712,0.31926113997005684,0.36710909661916424,0.0,2.4375,0.9273554132197459,True
48000,fir17-p16000-s19000,16,16000,19000,8,0.16666666666666666,2.5831679263710083,-11.796535324283063,-2.5831679263710083,-7.642020066571708,-17.45255090585026,0.16666666666613614,0.16666666666696983,0.10776508547164924,0.10776508547164924,0.0,0.3333333333333333,0.0,False
48000,fir33-p16000-s19000,32,16000,19000,16,0.3333333333333333,0.8092853836186766,-20.979737830985,-0.8092853836186766,-9.55054198273558,-45.86329719073754,0.33333333333272697,0.333333333334546,0.12209603676778263,0.12209603676778263,0.0,0.6666666666666666,0.0,False
48000,fir65-p16000-s19000,64,16000,19000,32,0.6666666666666666,0.009897927329320514,-59.47651980049764,0.008876155480127148,-14.392197230713474,-71.07905463129164,0.6666666666654539,0.666666666669092,0.1288758434008759,0.1288758434008759,0.0,1.3333333333333333,0.0,False
48000,fir129-p16000-s19000,128,16000,19000,64,1.3333333333333333,0.004771504461888418,-67.32522080283412,-0.001982316517088792,-30.325945555458883,-79.09639841169539,1.3333333333284827,1.3333333333357587,0.13217532459663126,0.13217532459663128,0.0,2.6666666666666665,0.0,True
48000,iir-p16000-s20000,12,16000,20000,0,0.0,0.10000000000001547,-63.685115528235116,-0.10000000000001547,-18.34786875135656,-63.685115528235116,0.0393947358175017,0.24712956630931635,0.35073552393150864,0.29966541989159334,0.0,1.7708333333333333,0.9012349220833276,True
48000,fir17-p16000-s20000,16,16000,20000,8,0.16666666666666666,1.8348873961003611,-14.404055487436263,-1.8348873961003611,-6.0198179355872234,-14.404055487436263,0.16666666666613614,0.16666666666696983,0.097406573081977,0.097406573081977,0.0,0.2916666666666667,0.0,False
48000,fir33-p16000-s20000,32,16000,20000,16,0.3333333333333333,0.2685879909909166,-30.30443546275286,-0.2685879909909166,-6.016838904957064,-30.30443546275286,0.33333333333272697,0.333333333334546,0.1116928813767454,0.1116928813767454,0.0,0.625,0.0,False
48000,fir65-p16000-s20000,64,16000,20000,32,0.6666666666666666,0.006065968332774662,-63.807454491177495,-0.005956651711623027,-6.0182637779104144,-63.81289464294057,0.6666666666654539,0.666666666669092,0.11846242744046392,0.11846242744046392,0.0,1.2916666666666667,0.0,True
48000,fir129-p16000-s20000,128,16000,20000,64,1.3333333333333333,0.0034711716707139535,-67.89074101083864,0.003470957149787459,-6.019373797649182,-67.89074101083864,1.3333333333284827,1.3333333333357587,0.12175945802215832,0.12175945802215832,0.0,2.625,0.0,True
