rate,conditioner,profile,source,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,peak_ratio
44100,butter6-fc18000,edge,AB,1.345791647233264,1.3330398920839501,0.24284045760956766,True,1.000254553928937
44100,butter6-fc18000,overlap-reference,A1,0.0884056325115411,0.09768527418951159,0.002834030781522395,True,0.999256882568672
44100,butter6-fc18000,overlap-reference,B1,0.13490788263338982,0.15959056620000794,0.002043265601543785,True,0.9984872134300277
44100,butter6-fc18000,overlap-reference,AB,0.08840633276395786,0.09768527418951159,0.002833992363583559,True,0.999256882568672
44100,butter6-fc18000,sustained-edge,A1,1.1019161518046605,0.5652819026116435,0.13000253065294498,True,0.9451212585364032
44100,butter6-fc18000,sustained-edge,B1,1.4808989617843693,1.2973620906896168,0.4414504239692664,True,0.5929089611437902
44100,butter6-fc18000,sustained-edge,AB,1.1019168765495708,0.5652819026116435,0.13000221391891026,True,0.9451212585364032
44100,butter6-fc20000,reference,A1,0.1847759597171643,0.3260277177408319,0.014041495650141813,True,1.0173827904541866
44100,butter6-fc20000,reference,B1,0.0670121365296969,0.09643452768721875,0.0014187206716193446,True,1.0112266414441549
44100,butter6-fc20000,reference,AB,0.18456853436973944,0.3260277177408319,0.014023504826442434,True,1.0173827904541866
44100,butter6-fc20000,edge,A1,0.981943273830174,1.1005710159637634,0.10662432019271707,True,0.8494480216381584
44100,butter6-fc20000,edge,B1,1.5260637628048572,1.2062441750195978,0.16862969631940142,True,0.8163958435553181
44100,butter6-fc20000,edge,AB,0.9819433667151835,1.1005710159637634,0.1066243141870225,True,0.8494480216381584
44100,butter6-fc20000,overlap-reference,A1,0.044555919851384164,0.06228912706394755,0.0018857624303778785,True,0.9980709117241567
44100,butter6-fc20000,overlap-reference,B1,0.06701213634845683,0.09643452385965597,0.0014187211179624466,True,1.011226586223513
44100,butter6-fc20000,overlap-reference,AB,0.04455625584998052,0.06228912706394755,0.001885849265987375,True,0.9980709117241567
44100,butter6-fc20000,sustained-edge,A1,0.6821636042995117,0.3972302487880336,0.07703145184168744,True,1.1003474853089892
44100,butter6-fc20000,sustained-edge,B1,1.5260637640515253,1.2062441822720533,0.16862968906797982,True,0.8163958586474304
44100,butter6-fc20000,sustained-edge,AB,0.6821636911256509,0.3972302487880336,0.07703192222086436,True,1.1003474853089892
44100,bessel4-fc18000,reference,A1,0.19787605188687757,0.3257409261799138,0.020292616367991952,True,1.0258940426754917
