rate,conditioner,kernel,profile,source,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,reference_convergence,joint_pass
44100,fir129-p16000-s18000,hann-g64,reference,A1,1.259631721539719e-06,1.1136638894651109e-06,1.190877491516591e-06,True,4.573772729681665e-09,True
44100,fir129-p16000-s18000,kaiser-g64,reference,A1,1.4673803845877948e-05,1.3974643796931239e-05,1.464992291649094e-05,True,4.573772729681665e-09,True
44100,fir129-p16000-s18000,kaiser-g16,reference,B1,5.8887695726444405e-05,5.630634549328429e-05,5.882217092547718e-05,True,3.7179268672839144e-10,True
44100,fir129-p16000-s18000,hann-g32,reference,B1,4.282164939234392e-06,5.29045789551458e-06,4.279307305796858e-06,True,3.7179268672839144e-10,True
44100,fir129-p16000-s18000,kaiser-g32,reference,B1,1.6805906337870524e-05,2.0354864207734517e-05,1.6771721651856026e-05,True,3.7179268672839144e-10,True
44100,fir129-p16000-s18000,lagrange-g64,reference,B1,6.978445315300468e-08,8.118357672837159e-08,5.9562250325809365e-08,True,3.7179268672839144e-10,True
44100,fir129-p16000-s18000,hann-g64,reference,B1,1.2259773864757082e-06,1.0898016120770737e-06,1.2251891946345974e-06,True,3.7179268672839144e-10,True
44100,fir129-p16000-s18000,kaiser-g64,reference,B1,1.8882597895992752e-05,1.6208981208974315e-05,1.8877321213567716e-05,True,3.7179268672839144e-10,True
44100,fir129-p16000-s18000,kaiser-g16,reference,AB,4.418126261390491e-05,4.210953235680886e-05,4.34471424949761e-05,True,4.573737476433941e-09,True
44100,fir129-p16000-s18000,hann-g32,reference,AB,9.986638872572443e-06,8.962327594990831e-06,9.527229577516322e-06,True,4.573737476433941e-09,True
44100,fir129-p16000-s18000,kaiser-g32,reference,AB,3.181012113327446e-05,2.4246703456976885e-05,3.172309869264455e-05,True,4.573737476433941e-09,True
44100,fir129-p16000-s18000,lagrange-g64,reference,AB,6.36199864038158e-07,4.406375642329673e-07,4.6963527816781246e-07,True,4.573737476433941e-09,True
44100,fir129-p16000-s18000,hann-g64,reference,AB,1.2595432354055664e-06,1.1136602801875282e-06,1.1909670679695353e-06,True,4.573737476433941e-09,True
44100,fir129-p16000-s18000,kaiser-g64,reference,AB,1.4686243938662684e-05,1.3974646332624083e-05,1.4662421683560785e-05,True,4.573737476433941e-09,True
44100,fir129-p16000-s18000,kaiser-g16,edge,A1,4.590344111433364e-05,4.590093076943987e-05,4.0180006147479584e-05,True,2.4889273519576286e-08,True
44100,fir129-p16000-s18000,hann-g32,edge,A1,4.6712786650557786e-05,4.6541798595021445e-05,3.950517512304651e-05,True,2.4889273519576286e-08,True
44100,fir129-p16000-s18000,kaiser-g32,edge,A1,2.9484922922368786e-05,2.159665529966823e-05,2.805814475450373e-05,True,2.4889273519576286e-08,True
44100,fir129-p16000-s18000,lagrange-g64,edge,A1,6.644104556812341e-06,4.003215547788523e-06,4.652425881699214e-06,True,2.4889273519576286e-08,True
44100,fir129-p16000-s18000,hann-g64,edge,A1,6.342522318758611e-06,5.82876501318083e-06,5.2888588447768144e-06,True,2.4889273519576286e-08,True
44100,fir129-p16000-s18000,kaiser-g64,edge,A1,1.688983673177449e-05,1.2114537901118607e-05,1.6343467408195464e-05,True,2.4889273519576286e-08,True
44100,fir129-p16000-s18000,kaiser-g16,edge,B1,9.147230231727674e-05,4.732975698309532e-05,8.91669620944303e-05,True,4.7563345694449955e-08,True
44100,fir129-p16000-s18000,hann-g32,edge,B1,0.000110618190480693,5.725444641800086e-05,0.00010796747746609386,True,4.7563345694449955e-08,True
44100,fir129-p16000-s18000,kaiser-g32,edge,B1,4.354485445229253e-05,2.2977542399456936e-05,4.2693977740539064e-05,True,4.7563345694449955e-08,True
44100,fir129-p16000-s18000,lagrange-g64,edge,B1,2.093622939753984e-05,6.026646174497975e-06,1.798041111361777e-05,True,4.7563345694449955e-08,True
44100,fir129-p16000-s18000,hann-g64,edge,B1,1.561025809237879e-05,7.11592628098337e-06,1.5021087868555184e-05,True,4.7563345694449955e-08,True
44100,fir129-p16000-s18000,kaiser-g64,edge,B1,2.3105918333473867e-05,1.2102393897644777e-05,2.2668822491754118e-05,True,4.7563345694449955e-08,True
44100,fir129-p16000-s18000,kaiser-g16,edge,AB,4.5903442980845186e-05,4.590093264036901e-05,4.01800139394399e-05,True,2.4889292511844973e-08,True
44100,fir129-p16000-s18000,hann-g32,edge,AB,4.671279030629045e-05,4.654179670089512e-05,3.950518327351881e-05,True,2.4889292511844973e-08,True
44100,fir129-p16000-s18000,kaiser-g32,edge,AB,2.9484922321952005e-05,2.159665340170961e-05,2.805815083840337e-05,True,2.4889292511844973e-08,True
44100,fir129-p16000-s18000,lagrange-g64,edge,AB,6.644101427677335e-06,4.0032173612440995e-06,4.652446018219554e-06,True,2.4889292511844973e-08,True
44100,fir129-p16000-s18000,hann-g64,edge,AB,6.342518890997929e-06,5.8287630609013306e-06,5.288877170660741e-06,True,2.4889292511844973e-08,True
44100,fir129-p16000-s18000,kaiser-g64,edge,AB,1.6889835324319467e-05,1.2114539273755821e-05,1.634347416207752e-05,True,2.4889292511844973e-08,True
44100,fir129-p16000-s18000,kaiser-g16,overlap-reference,A1,4.9683176373359526e-05,5.4925298608159446e-05,4.7895357817864613e-05,True,2.90434535237352e-10,True
44100,fir129-p16000-s18000,hann-g32,overlap-reference,A1,5.4508873198150075e-06,6.892183666393658e-06,5.2367749380026765e-06,True,2.90434535237352e-10,True
44100,fir129-p16000-s18000,kaiser-g32,overlap-reference,A1,2.1237669085584358e-05,2.508187975798035e-05,2.0577849879440427e-05,True,2.90434535237352e-10,True
44100,fir129-p16000-s18000,lagrange-g64,overlap-reference,A1,8.281577331007204e-08,8.590190972538357e-08,6.665740695731639e-08,True,2.90434535237352e-10,True
44100,fir129-p16000-s18000,hann-g64,overlap-reference,A1,1.0340148128878643e-06,1.2342150520858732e-06,9.857373110304268e-07,True,2.90434535237352e-10,True
44100,fir129-p16000-s18000,kaiser-g64,overlap-reference,A1,1.732038900093519e-05,1.8988763797872065e-05,1.6827473826094266e-05,True,2.90434535237352e-10,True
44100,fir129-p16000-s18000,kaiser-g16,overlap-reference,B1,5.888769573599625e-05,5.630634719118898e-05,5.88221709351782e-05,True,3.7179277323025113e-10,True
44100,fir129-p16000-s18000,hann-g32,overlap-reference,B1,4.282164931247944e-06,5.29045774668274e-06,4.27930729814265e-06,True,3.7179277323025113e-10,True
44100,fir129-p16000-s18000,kaiser-g32,overlap-reference,B1,1.680590634695186e-05,2.0354864009201867e-05,1.6771721661010554e-05,True,3.7179277323025113e-10,True
44100,fir129-p16000-s18000,lagrange-g64,overlap-reference,B1,6.97844388561338e-08,8.118349404448498e-08,5.9562235828459036e-08,True,3.7179277323025113e-10,True
44100,fir129-p16000-s18000,hann-g64,overlap-reference,B1,1.225977387132786e-06,1.0898015331948103e-06,1.2251891951371772e-06,True,3.7179277323025113e-10,True
44100,fir129-p16000-s18000,kaiser-g64,overlap-reference,B1,1.888259789067237e-05,1.6208981610288548e-05,1.8877321208296536e-05,True,3.7179277323025113e-10,True
44100,fir129-p16000-s18000,kaiser-g16,overlap-reference,AB,4.968323389353746e-05,5.4925298425038275e-05,4.789542645321498e-05,True,2.9043497617910557e-10,True
44100,fir129-p16000-s18000,hann-g32,overlap-reference,AB,5.450882495476074e-06,6.892183483388184e-06,5.236771171965474e-06,True,2.9043497617910557e-10,True
44100,fir129-p16000-s18000,kaiser-g32,overlap-reference,AB,2.1237649136310754e-05,2.5081879940979964e-05,2.0577832364475705e-05,True,2.9043497617910557e-10,True
44100,fir129-p16000-s18000,lagrange-g64,overlap-reference,AB,8.281040646874733e-08,8.590209133994473e-08,6.665371999939911e-08,True,2.9043497617910557e-10,True
44100,fir129-p16000-s18000,hann-g64,overlap-reference,AB,1.034015961237901e-06,1.234215233700224e-06,9.857389312029468e-07,True,2.9043497617910557e-10,True
