policy,rate,profile,source,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,scope
S1-butter6,96000,edge,B1,1.9089807779699561,1.8753476572715968,0.0040531339205064085,True,physical effect plus numerical residual; not listening score
S1-butter6,44100,edge,AB,0.8661575435372437,0.9413649720335022,0.28098030591956585,True,physical effect plus numerical residual; not listening score
S1-butter6,48000,edge,AB,1.1770127848936796,1.2844251787186989,0.39654579210518154,True,physical effect plus numerical residual; not listening score
S1-butter6,96000,edge,AB,0.9772162301535732,1.1044938548679308,0.296220322498409,True,physical effect plus numerical residual; not listening score
S1-butter6,44100,overlap-reference,A1,0.18908686869459895,0.22170497569126896,0.01819690468355966,True,physical effect plus numerical residual; not listening score
S1-butter6,48000,overlap-reference,A1,0.08203871129968304,0.09645822689223753,0.011044526770829656,True,physical effect plus numerical residual; not listening score
S1-butter6,96000,overlap-reference,A1,0.5717556595850551,0.5392742883397137,0.203631440359677,True,physical effect plus numerical residual; not listening score
S1-butter6,44100,overlap-reference,B1,0.336885032255138,0.3544881816529723,0.0033049732908175655,True,physical effect plus numerical residual; not listening score
S1-butter6,48000,overlap-reference,B1,0.3368585302581352,0.3528532434165188,0.0033120396383190336,True,physical effect plus numerical residual; not listening score
S1-butter6,96000,overlap-reference,B1,0.3367958949343363,0.32871323469602226,0.0033147713651779736,True,physical effect plus numerical residual; not listening score
S1-butter6,44100,overlap-reference,AB,0.18908861230101426,0.22170497569126896,0.018197585854441783,True,physical effect plus numerical residual; not listening score
S1-butter6,48000,overlap-reference,AB,0.08204065265635589,0.09645822689223753,0.011048123843229136,True,physical effect plus numerical residual; not listening score
S1-butter6,96000,overlap-reference,AB,0.5717286367579687,0.5393111244944916,0.20361976213594937,True,physical effect plus numerical residual; not listening score
S1-butter6,44100,sustained-edge,A1,1.2556594278886022,1.1069974617933431,0.29313960792392335,True,physical effect plus numerical residual; not listening score
S1-butter6,48000,sustained-edge,A1,0.8915123642011886,0.5446571572983634,0.23830263843812713,True,physical effect plus numerical residual; not listening score
S1-butter6,96000,sustained-edge,A1,1.3293711225030516,1.4242804411534642,0.49132306467306497,True,physical effect plus numerical residual; not listening score
S1-butter6,44100,sustained-edge,B1,1.9315032630510247,1.9852477688485086,0.0033780775082256275,True,physical effect plus numerical residual; not listening score
S1-butter6,48000,sustained-edge,B1,1.9323539187041354,2.0146011866750753,0.003327468546123797,True,physical effect plus numerical residual; not listening score
S1-butter6,96000,sustained-edge,B1,1.908980778404553,1.8753476557757467,0.0040531337797354286,True,physical effect plus numerical residual; not listening score
S1-butter6,44100,sustained-edge,AB,1.2556614633059793,1.1069974617933431,0.2931408836475593,True,physical effect plus numerical residual; not listening score
S1-butter6,48000,sustained-edge,AB,0.8915123744583386,0.5446571572983634,0.23830331511475505,True,physical effect plus numerical residual; not listening score
S1-butter6,96000,sustained-edge,AB,1.3293711259108931,1.4242804411534642,0.4913233997734896,True,physical effect plus numerical residual; not listening score
S1-fir65,44100,reference,A1,0.26718938192911623,0.3226878836340061,0.0533695607772569,True,physical effect plus numerical residual; not listening score
S1-fir65,48000,reference,A1,0.9083383127633319,0.9761259002527581,0.18096423462292877,True,physical effect plus numerical residual; not listening score
S1-fir65,96000,reference,A1,0.5007777020831862,0.8421783071659631,0.14905631635249117,True,physical effect plus numerical residual; not listening score
S1-fir65,44100,reference,B1,0.3368757542553207,0.34234040979491276,0.0033042034502200695,True,physical effect plus numerical residual; not listening score
S1-fir65,48000,reference,B1,0.33684394835760056,0.3443386217093953,0.0033108192994140235,True,physical effect plus numerical residual; not listening score
S1-fir65,96000,reference,B1,0.3367958949123954,0.3287132306556828,0.003314771371051222,True,physical effect plus numerical residual; not listening score
S1-fir65,44100,reference,AB,0.26739289682161915,0.3226878836340061,0.05378205937033472,True,physical effect plus numerical residual; not listening score
S1-fir65,48000,reference,AB,0.8841145150465373,0.9761259002527581,0.17553286827905065,True,physical effect plus numerical residual; not listening score
S1-fir65,96000,reference,AB,0.49791847895127195,0.8421783071659631,0.1483792528339939,True,physical effect plus numerical residual; not listening score
S1-fir65,44100,edge,A1,0.8668682186184107,0.818840917202464,0.2805990962319809,True,physical effect plus numerical residual; not listening score
S1-fir65,48000,edge,A1,1.177260271720672,1.3500483560440744,0.3951093452444972,True,physical effect plus numerical residual; not listening score
S1-fir65,96000,edge,A1,0.977215992922162,1.1044938548679308,0.2962189257323443,True,physical effect plus numerical residual; not listening score
S1-fir65,44100,edge,B1,1.9342019748089359,1.9620768572516574,0.0033014557894449604,True,physical effect plus numerical residual; not listening score
S1-fir65,48000,edge,B1,1.934771694865447,1.930914639917073,0.003251274129240057,True,physical effect plus numerical residual; not listening score
S1-fir65,96000,edge,B1,1.9089807779699561,1.8753476572715968,0.0040531339205064085,True,physical effect plus numerical residual; not listening score
S1-fir65,44100,edge,AB,0.8668684411430477,0.818840917202464,0.2805996660688416,True,physical effect plus numerical residual; not listening score
S1-fir65,48000,edge,AB,1.1772605217482912,1.3500483560440744,0.3951132957827523,True,physical effect plus numerical residual; not listening score
