rate,conditioner,kernel,profile,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,reference_convergence,implementation_nrms,implementation_peak_error,native_numerical_pass
48000,iir-p16000-s20000,kaiser-g8,sustained-edge,0.0002461812141148379,0.00017672262601167317,0.00022591991271572889,True,4.992468889932564e-09,9.810659426651731e-09,6.670811466717056e-09,True
48000,fir65-p16000-s20000,kaiser-g8,reference,0.00039048728267608416,0.0003030443021231817,0.00033076159898654146,True,6.8361561454327695e-09,1.0892545143389462e-08,1.0990301846401126e-08,True
48000,fir65-p16000-s20000,kaiser-g8,edge,0.0010134540987045756,0.0009281287575272919,0.0008474972970856974,True,1.691292630539883e-08,2.0440301968232105e-08,2.48196027740186e-08,True
48000,fir65-p16000-s20000,kaiser-g8,overlap-reference,2.0958059818028292e-05,3.0451545123140526e-05,1.4118970059809294e-05,True,2.7034172110446213e-10,2.597852680040359e-10,7.154773913718435e-10,True
48000,fir65-p16000-s20000,kaiser-g8,sustained-edge,0.000647596840893399,0.0005199426308283648,0.0005966380344808766,True,6.3942132218242516e-09,1.0359270510715293e-08,5.313642411520705e-09,True
48000,fir129-p16000-s20000,kaiser-g8,reference,0.00040291339222380885,0.00028447003721021065,0.00033933958237572666,True,6.959720108719988e-09,1.0929336233077617e-08,1.1102022569681417e-08,True
48000,fir129-p16000-s20000,kaiser-g8,edge,0.0010537091336638535,0.0008264391267908895,0.0008777255041573132,True,1.7140273472279675e-08,2.051935904945364e-08,2.493714058036408e-08,True
48000,fir129-p16000-s20000,kaiser-g8,overlap-reference,2.0816470314201547e-05,2.8993227317252537e-05,1.395335432189168e-05,True,2.71544339939127e-10,2.606292123272651e-10,7.154181992485326e-10,True
48000,fir129-p16000-s20000,kaiser-g8,sustained-edge,0.0006461658513986555,0.0004543255555799247,0.0005974366234105511,True,6.4752437487581786e-09,1.0427521022586243e-08,5.400884339645712e-09,True
48000,iir-p16000-s23520,kaiser-g16,reference,8.392530719951246e-05,6.915020236893262e-05,7.275449975495937e-05,True,8.970599680776143e-09,1.078093405646226e-08,1.1042473385507365e-08,True
48000,iir-p16000-s23520,kaiser-g16,edge,0.00017045342402480072,0.00013160602206600523,0.0001459176589554506,True,2.158304368365552e-08,2.007340064091629e-08,2.021884695178267e-08,True
48000,iir-p16000-s23520,kaiser-g16,overlap-reference,5.1797145993466427e-05,5.065306080909019e-05,5.138333497109459e-05,True,3.6409382111669816e-10,2.616070109525906e-10,6.462813423907974e-10,True
48000,iir-p16000-s23520,kaiser-g16,sustained-edge,0.00010197462995796098,5.860209986952448e-05,9.236411200851332e-05,True,7.422652027098226e-09,1.0590667558894603e-08,5.258471832682655e-09,True
48000,fir65-p16000-s23520,kaiser-g16,reference,3.382736317820507e-05,2.307845787684234e-05,2.9591041829004997e-05,True,9.813839402078632e-09,1.1067726873260413e-08,1.1418152365943625e-08,True
48000,fir65-p16000-s23520,kaiser-g16,edge,5.1559878764542686e-05,4.2420065896521106e-05,4.328671021952818e-05,True,2.480952083630645e-08,2.0613389729317135e-08,2.9266237838602185e-08,True
48000,fir65-p16000-s23520,kaiser-g16,overlap-reference,5.174840132636873e-05,5.065574921341826e-05,5.134255930917307e-05,True,4.0292404551104145e-10,2.673675783224103e-10,7.902217820476102e-10,True
48000,fir65-p16000-s23520,kaiser-g16,sustained-edge,3.7775526883750107e-05,3.7434977394152606e-05,3.538651299227475e-05,True,8.389771159121076e-09,1.0841388886887856e-08,6.4848589853220584e-09,True
48000,fir129-p16000-s23520,kaiser-g16,reference,3.351118183732178e-05,2.3827265577412205e-05,2.929894743412673e-05,True,9.804615458820917e-09,1.1092778853844916e-08,1.1411518444752463e-08,True
48000,fir129-p16000-s23520,kaiser-g16,edge,5.057327790737443e-05,3.872044314726024e-05,4.235667979317447e-05,True,2.4523093021601485e-08,2.06608210316767e-08,2.920623499800461e-08,True
48000,fir129-p16000-s23520,kaiser-g16,overlap-reference,5.1747964558694416e-05,5.062728129726237e-05,5.1342143922992465e-05,True,4.0120858909165764e-10,2.679043181333733e-10,7.901578220741363e-10,True
48000,fir129-p16000-s23520,kaiser-g16,sustained-edge,3.718928014578722e-05,3.618718575831723e-05,3.485927949305806e-05,True,8.528376859274227e-09,1.0860677392289338e-08,6.498146136231842e-09,True
48000,iir-p18000-s19000,kaiser-g16,reference,3.296965672187748e-05,2.516086950881265e-05,2.8774589344546295e-05,True,3.913314254272758e-09,1.0983953071522993e-08,9.355965526425388e-09,True
48000,iir-p18000-s19000,kaiser-g16,edge,4.9443437231374445e-05,4.040559422050059e-05,4.145824093205365e-05,True,9.693346473089193e-09,2.0368714832697805e-08,2.430975447705321e-08,True
48000,iir-p18000-s19000,kaiser-g16,overlap-reference,5.175846073755176e-05,5.058903748504563e-05,5.1356552366455385e-05,True,2.2590662378739774e-10,2.623533523310083e-10,3.4671448175577045e-10,True
48000,iir-p18000-s19000,kaiser-g16,sustained-edge,3.66754092840321e-05,3.510870428619575e-05,3.452808295478547e-05,True,6.591818670742574e-09,1.0514696879035833e-08,4.884082234170524e-09,True
48000,iir-p18000-s20000,kaiser-g16,reference,3.307142183051737e-05,2.5078167500310262e-05,2.8933390555397426e-05,True,6.274269574470767e-09,1.084072858488273e-08,1.17840313854842e-08,True
48000,iir-p18000-s20000,kaiser-g16,edge,4.957987229233415e-05,3.7069090520531e-05,4.164442639249667e-05,True,1.4831392077376503e-08,2.0529162312032492e-08,2.2849899284154355e-08,True
48000,iir-p18000-s20000,kaiser-g16,overlap-reference,5.175280859350287e-05,5.081904658457094e-05,5.134881562344393e-05,True,2.8047212108122086e-10,2.6088921667005463e-10,3.698323469516681e-10,True
48000,iir-p18000-s20000,kaiser-g16,sustained-edge,3.676851120153653e-05,3.609772458915255e-05,3.4577629691040255e-05,True,6.957706843305925e-09,1.0636582131212395e-08,6.0768948362333886e-09,True
48000,fir129-p18000-s20000,kaiser-g16,reference,3.32547837155532e-05,2.3947205173521872e-05,2.9126616847780004e-05,True,8.420182354968723e-09,1.0999208949495315e-08,1.0713000957834394e-08,True
48000,fir129-p18000-s20000,kaiser-g16,edge,4.9932152875309216e-05,3.8131429097672736e-05,4.193705308033394e-05,True,2.034055728850715e-08,2.064383048122862e-08,2.7272383373556334e-08,True
48000,fir129-p18000-s20000,kaiser-g16,overlap-reference,5.174786735759761e-05,5.059769072848461e-05,5.134208020677028e-05,True,3.276740085272036e-10,2.6563625613991903e-10,7.594491387075955e-10,True
48000,fir129-p18000-s20000,kaiser-g16,sustained-edge,3.691258302034868e-05,3.64753638982368e-05,3.465589545371335e-05,True,7.694551671212667e-09,1.072803943661764e-08,6.091075736445888e-09,True
