source,role,case,mode,finite,partition_exact,difference_from_AB_rms,peak_linear,rms_linear,dc_left,dc_right,peak_dbfs,rms_dbfs,source_window_rms_dbfs,e_to_source_db,spectral_energy_centroid_hz,tail_energy,tail_energy_centroid_seconds,d1_min_path_m,d1_max_path_m,d1_max_speed_mps,d1_correction_rms,d1_drain_samples
ABL2_Loops_42_Partisan_BPM170.wav,user supplied musical sample,A-U0.05-A0.005,a1b1d1,True,True,1.3849973918954104e-05,0.02655443176627159,0.0007653060895101029,1.1555958708130793e-07,-7.635879810522024e-07,-31.517259750770027,-62.32329661985774,-60.47283658371903,-31.277188043566994,1659.7252409686228,0.0,0.0,0,0.0049249354004859925,0.011576681565518554,1.3849974061527289e-05,4
ABL2_Loops_42_Partisan_BPM170.wav,user supplied musical sample,A-U0.05-A0.015,a1b1d1,True,True,4.0811865824679035e-05,0.026526372879743576,0.0007653564562867069,1.1556003535465682e-07,-7.635879298086464e-07,-31.526442596285456,-62.3227249977659,-60.47226496162718,-31.276616421475147,1660.1760924508908,0.0,0.0,0,0.014774806201457977,0.034730044696534845,4.0811865857861869e-05,4
ABL2_Loops_42_Partisan_BPM170.wav,user supplied musical sample,A-U0.05-A0.03,a1b1d1,True,True,8.1846496756812e-05,0.026477467268705368,0.0007653875112622563,1.1555592625473261e-07,-7.635829457959211e-07,-31.54247120325117,-62.32237256771086,-60.471912531572144,-31.27626399142011,1661.0229765919926,0.0,0.0,0,0.029549612402915953,0.049999999989336352,8.1846497199452727e-05,4
ABL2_Loops_42_Partisan_BPM170.wav,user supplied musical sample,A-U0.2-A0.005,a1b1d1,True,True,1.6686972194704358e-05,0.026561375707387924,0.0007653043452963471,1.1555858520968389e-07,-7.635756570312076e-07,-31.51498870155127,-62.32331641594412,-60.4728563798054,-31.277207839653364,1659.509626699963,0.0,0.0,0,0.0049524778127670293,0.046306725145467409,1.6686972318999904e-05,4
ABL2_Loops_42_Partisan_BPM170.wav,user supplied musical sample,A-U0.2-A0.015,a1b1d1,True,True,4.8932516027537465e-05,0.026558205485343933,0.0007653642278485059,1.1555701345023655e-07,-7.635510945355276e-07,-31.516025464199497,-62.322636800188384,-60.472176764049664,-31.27652822389763,1660.3807574762466,0.0,0.0,0,0.014857433438301086,0.13892017543640223,4.8932516031122894e-05,4
ABL2_Loops_42_Partisan_BPM170.wav,user supplied musical sample,A-U0.2-A0.03,a1b1d1,True,True,9.323744186043019e-05,0.026546677574515343,0.0007653961360628271,1.1553974259858182e-07,-7.635612142395356e-07,-31.519796498312292,-62.322274690958594,-60.47181465481987,-31.276166114667838,1660.921010123293,0.0,0.0,0,0.029714866876602172,0.19999999903491661,9.3237441895958805e-05,4
ABL2_Loops_42_Partisan_BPM170.wav,user supplied musical sample,A-U0.5-A0.005,a1b1d1,True,True,1.92404207604759e-05,0.02653937228024006,0.0007653127023014042,1.1554537484083681e-07,-7.635877881371619e-07,-31.52218706910906,-62.32322156789085,-60.47276153175214,-31.277112991600106,1659.4076456706805,0.0,0.0,0,0.0049619269371032719,0.12259137149910754,1.9240420966695299e-05,4
ABL2_Loops_42_Partisan_BPM170.wav,user supplied musical sample,A-U0.5-A0.015,a1b1d1,True,True,5.673058752126577e-05,0.026437314227223396,0.0007653859161203455,1.1551735721346953e-07,-7.635873106464824e-07,-31.555653340416878,-62.322390669967334,-60.47193063382862,-31.276282093676585,1660.2995488060822,0.0,0.0,0,0.014885780811309814,0.36777411449734343,5.6730587386985325e-05,4
ABL2_Loops_42_Partisan_BPM170.wav,user supplied musical sample,A-U0.5-A0.03,a1b1d1,True,True,0.00010810142545522644,0.026517216116189957,0.0007654201038496914,1.1551636847336976e-07,-7.635757378349489e-07,-31.529441437048842,-62.32200270331415,-60.47154266717543,-31.275894127023392,1662.0830979852908,0.0,0.0,0,0.029771561622619628,0.49999998928268452,0.00010810142569098939,4
ABL2_Loops_42_Partisan_BPM170.wav,user supplied musical sample,B-L0.01,a1b1d1,True,True,5.59630569952201e-05,0.026510564610362053,0.0007653735450748404,1.1560416995155558e-07,-7.635725979867632e-07,-31.531620455105397,-62.322531062417866,-60.47207102627915,-31.276422486127117,1660.0877885036844,0.0,0.0,0,0.014885780811309814,0.19999999720679562,5.5963057254951708e-05,4
ABL2_Loops_42_Partisan_BPM170.wav,user supplied musical sample,B-L0.03,a1b1d1,True,True,4.8932516027537465e-05,0.026558205485343933,0.0007653642278485059,1.1555701345023655e-07,-7.635510945355276e-07,-31.516025464199497,-62.322636800188384,-60.472176764049664,-31.27652822389763,1660.3807574762466,0.0,0.0,0,0.014857433438301086,0.13892017543640223,4.8932516031122894e-05,4
ABL2_Loops_42_Partisan_BPM170.wav,user supplied musical sample,B-L0.1,a1b1d1,True,True,3.997324700678451e-05,0.02650565467774868,0.0007653719306703604,1.1557182773094935e-07,-7.635851319826235e-07,-31.533229288534287,-62.3225493836076,-60.47208934746888,-31.276440807316845,1660.433008644386,0.0,0.0,0,0.014774806201457977,0.041676053606332086,3.9973247103060864e-05,4
sustained-pad-engineering.wav,engineering pad,AB,a1b1,True,True,0.0,0.027526115998625755,0.0003427587156202208,-4.278719082211583e-07,2.1393595411057915e-07,-31.20510128565664,-69.3002298643857,-67.53931727382889,-44.22939471482441,3152.523451703411,0.0,0.0,,,,,
sustained-pad-engineering.wav,engineering pad,AB-D0,a1b1d,True,True,0.006353147400019618,0.04308556020259857,0.006361970464175605,-4.1524220390682744e-07,2.0762110195341372e-07,-27.313365118861306,-43.92816702923619,-42.16725447144019,-18.857331912435715,316.83634597274266,1.318977059598707e-07,0.0005743960862546546,,,,,
sustained-pad-engineering.wav,engineering pad,A-U0-A0.005,a1b1d1,True,True,0.0,0.027526115998625755,0.0003427587156202208,-4.278719082211583e-07,2.1393595411057915e-07,-31.20510128565664,-69.3002298643857,-67.53931727382889,-44.22939471482441,3152.523451703411,0.0,0.0,0,0,0,0,4
sustained-pad-engineering.wav,engineering pad,A-U0-A0.015,a1b1d1,True,True,0.0,0.027526115998625755,0.0003427587156202208,-4.278719082211583e-07,2.1393595411057915e-07,-31.20510128565664,-69.3002298643857,-67.53931727382889,-44.22939471482441,3152.523451703411,0.0,0.0,0,0,0,0,4
sustained-pad-engineering.wav,engineering pad,A-U0-A0.03,a1b1d1,True,True,0.0,0.027526115998625755,0.0003427587156202208,-4.278719082211583e-07,2.1393595411057915e-07,-31.20510128565664,-69.3002298643857,-67.53931727382889,-44.22939471482441,3152.523451703411,0.0,0.0,0,0,0,0,4
