policy,rate,reference_rate,profile,source,stage,band_0_16000_spectral_nrms,band_0_16000_energy_ratio_db,band_16000_20000_spectral_nrms,band_16000_20000_energy_ratio_db,envelope_nrms,peak_envelope_time_delta_ms,acceptance
S1-butter4,48000,96000,sustained-edge,B1,D-OFF,0.7579206617178195,4.858094612703043,0.9776334489881696,5.915412371933998,0.8940927091218682,0,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,sustained-edge,B1,D-ON,0.7584386822366684,4.8606862822167365,0.9776326335567396,5.915313145907035,0.8946122227038985,0,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,sustained-edge,AB,raw,1.2503439846720297,3.466767396195354,0.6892436375625207,1.056826110831948,1.6086007206226949,238,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,sustained-edge,AB,D-OFF,1.2503417730294728,3.4667384350540464,0.683403856004231,0.9871179865636858,1.6039702657898984,238,cross-rate listening pending; baseline source variation retained
S1-butter4,44100,96000,sustained-edge,AB,D-ON,1.248761808858995,3.466283908064595,0.6934991086022619,0.9821506478158794,1.601474515323052,238,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,sustained-edge,AB,raw,1.558379998883143,5.022770093710493,0.6586395417468277,0.5604912683771488,1.937845694092858,182,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,sustained-edge,AB,D-OFF,1.5583498363482282,5.022366729918435,0.654254725594085,0.4420662604187744,1.9322098332391917,182,cross-rate listening pending; baseline source variation retained
S1-butter4,48000,96000,sustained-edge,AB,D-ON,1.559199118449383,5.019935323826978,0.6598690894850435,0.44379249452193303,1.9322902701691234,182,cross-rate listening pending; baseline source variation retained
S1-butter6,44100,96000,reference,A1,raw,6.0526565803648165,15.846431527087452,2.748083861541852,10.91903948603807,6.23053519184426,191,cross-rate listening pending; baseline source variation retained
S1-butter6,44100,96000,reference,A1,D-OFF,6.052656578241741,15.846431523613933,2.724072337337179,10.856781681544875,6.229748986597592,191,cross-rate listening pending; baseline source variation retained
S1-butter6,44100,96000,reference,A1,D-ON,6.0534191738760965,15.847056838814158,2.738224595079401,10.891713189606973,6.229834607385079,191,cross-rate listening pending; baseline source variation retained
S1-butter6,48000,96000,reference,A1,raw,1.2359529612701936,1.0555336260121206,2.2571674610221364,9.539308286773378,1.51979256090364,281,cross-rate listening pending; baseline source variation retained
S1-butter6,48000,96000,reference,A1,D-OFF,1.2359518095747464,1.0555219191293357,2.2295013002103454,9.44719888554657,1.5169141769979768,281,cross-rate listening pending; baseline source variation retained
S1-butter6,48000,96000,reference,A1,D-ON,1.2352271255289913,1.0534940977013716,2.2352140443455717,9.4670633926892,1.5167601582375838,281,cross-rate listening pending; baseline source variation retained
S1-butter6,44100,96000,reference,B1,raw,1.1604403307337257,6.690842421570098,2.051823134098579,9.682012950929334,1.1618255558202413,0,cross-rate listening pending; baseline source variation retained
S1-butter6,44100,96000,reference,B1,D-OFF,1.1604403307322317,6.690842421564993,2.0096503694393584,9.563761135943631,1.1618555663194954,0,cross-rate listening pending; baseline source variation retained
S1-butter6,44100,96000,reference,B1,D-ON,1.1604720360214593,6.690969892372827,2.0095820137151215,9.563525777137457,1.1618127115268577,0,cross-rate listening pending; baseline source variation retained
S1-butter6,48000,96000,reference,B1,raw,0.994803050193443,5.9979985144020205,1.5655124146653334,8.177181036976297,0.9948134720216855,0,cross-rate listening pending; baseline source variation retained
S1-butter6,48000,96000,reference,B1,D-OFF,0.9948030500627878,5.997998513908279,1.5025935650915163,7.963080063065627,0.9948772002342449,0,cross-rate listening pending; baseline source variation retained
S1-butter6,48000,96000,reference,B1,D-ON,0.9949278885252653,5.998542089304214,1.5024252417459854,7.96240699458772,0.9949968408959563,0,cross-rate listening pending; baseline source variation retained
S1-butter6,44100,96000,reference,AB,raw,5.984400194406309,15.76590249918219,2.7481033560968937,10.918992333102896,6.167702829728841,191,cross-rate listening pending; baseline source variation retained
S1-butter6,44100,96000,reference,AB,D-OFF,5.984400192303909,15.765902495717658,2.7240950933930255,10.856739539985478,6.166925244778171,191,cross-rate listening pending; baseline source variation retained
S1-butter6,44100,96000,reference,AB,D-ON,5.9850302068845,15.766520043783498,2.738268278022295,10.891701289683366,6.167003463252428,191,cross-rate listening pending; baseline source variation retained
S1-butter6,48000,96000,reference,AB,raw,1.2297676119160044,1.2439813477216781,2.2572253821691017,9.539257525628805,1.5107361452454469,281,cross-rate listening pending; baseline source variation retained
S1-butter6,48000,96000,reference,AB,D-OFF,1.2297664786005968,1.2439703723269022,2.2295579997458503,9.4471455183366,1.507901606149727,281,cross-rate listening pending; baseline source variation retained
S1-butter6,48000,96000,reference,AB,D-ON,1.2290203084308267,1.242118423709164,2.235011345011422,9.467026781650862,1.507750626835596,281,cross-rate listening pending; baseline source variation retained
S1-butter6,44100,96000,edge,A1,raw,1.8128318997246207,6.56989213822126,4.023709890537251,13.692143056188442,2.6243546910422864,399,cross-rate listening pending; baseline source variation retained
S1-butter6,44100,96000,edge,A1,D-OFF,1.8128318548404239,6.569891861128637,3.978221057279308,13.613663096690976,2.5999659123972894,399,cross-rate listening pending; baseline source variation retained
S1-butter6,44100,96000,edge,A1,D-ON,1.8121081818807165,6.562984202213123,3.9930087148058697,13.643266819735171,2.59868573973584,399,cross-rate listening pending; baseline source variation retained
