rate,kernel,frequency_hz,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,core_pass
96000,hann-g16,4000.0,5.111798788492185e-05,7.139107441462418e-05,4.855689542177846e-05,True,True
96000,hann-g16,8000.0,5.574311631711321e-05,7.552909070306229e-05,5.337516628774343e-05,True,True
96000,hann-g16,12000.0,2.2089828139032615e-05,2.4545930253886613e-05,1.82754668897405e-05,True,True
96000,hann-g16,16000.0,6.307976130904771e-05,8.790736367688891e-05,5.867817805487134e-05,True,True
96000,hann-g16,18000.0,5.3411858947076416e-05,6.118425432300167e-05,4.762242708422224e-05,True,True
96000,hann-g16,20000.0,9.089619220940092e-05,0.00012315092276954772,8.072452593533477e-05,True,True
96000,kaiser-g16,1000.0,1.7644571695611393e-05,1.9836689731093648e-05,1.5495654934923477e-05,True,True
96000,kaiser-g16,2000.0,4.467553346987207e-05,5.392784114938707e-05,4.3083834073616096e-05,True,True
96000,kaiser-g16,4000.0,3.977013795492967e-05,4.667133659173379e-05,3.802213777063075e-05,True,True
96000,kaiser-g16,8000.0,4.986397483354579e-05,5.938451622454351e-05,4.833030989048741e-05,True,True
96000,kaiser-g16,12000.0,1.387827983980741e-06,1.6114519398676097e-06,1.1333451299262675e-06,True,True
96000,kaiser-g16,16000.0,2.8396433961519037e-05,3.185627248802524e-05,2.6965199813819306e-05,True,True
96000,kaiser-g16,18000.0,3.465880970166637e-06,4.900864800859219e-06,3.24435572352468e-06,True,True
96000,kaiser-g16,20000.0,6.302945188277279e-05,7.827882384964735e-05,5.857241087749986e-05,True,True
96000,lagrange-g32,1000.0,1.873672643028961e-13,8.269704366081717e-13,1.340389964237544e-13,True,True
96000,lagrange-g32,2000.0,3.748152927853614e-13,1.643386816049327e-12,2.674216257158359e-13,True,True
