rate,reference_rate,conditioner,reference_conditioner,frequency_hz,magnitude_difference_db,phase_difference_rad,engineering_latency_removed,acceptance
44100,96000,fir65-p16000-s21609,fir65-p16000-s24000,4000.0,0.0007371016918021135,7.778169575096219e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s21609,fir65-p16000-s24000,8000.0,0.001312883721215543,-5.976473696346437e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s21609,fir65-p16000-s24000,12000.0,-0.0021980255992450804,1.1021812618488816e-15,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s21609,fir65-p16000-s24000,16000.0,0.006336483449958882,-6.992392187381274e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s21609,fir65-p16000-s24000,18000.0,-0.2186721725122096,-4.4452933656197556e-18,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir65-p16000-s21609,fir65-p16000-s24000,20000.0,-44.791386348883115,9.458146967614032e-15,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s21609,fir129-p16000-s24000,1000.0,-4.223128822299759e-05,2.3742036722471166e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s21609,fir129-p16000-s24000,2000.0,0.001641608132966938,1.7379981076106578e-15,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s21609,fir129-p16000-s24000,4000.0,0.0010260379928547856,3.0100903229533074e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s21609,fir129-p16000-s24000,8000.0,0.001204218254403843,-8.063258489291569e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s21609,fir129-p16000-s24000,12000.0,-0.0016572758800156469,1.750750463454645e-15,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s21609,fir129-p16000-s24000,16000.0,-0.005032846236252413,-2.213434922158653e-15,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s21609,fir129-p16000-s24000,18000.0,0.006896705762589858,3.1763069713200365e-16,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,fir129-p16000-s21609,fir129-p16000-s24000,20000.0,-58.72999890129578,3.1415926535897607,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p18000-s19000,iir-p18000-s19000,1000.0,3.857309866213148e-15,-2.7903949630811185,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p18000-s19000,iir-p18000-s19000,2000.0,2.121520426417229e-14,0.7127761823670788,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p18000-s19000,iir-p18000-s19000,4000.0,3.2787133862811696e-14,1.5094095660830513,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p18000-s19000,iir-p18000-s19000,8000.0,2.121520426417229e-14,-2.5667832188629873,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p18000-s19000,iir-p18000-s19000,12000.0,1.5429239464852578e-14,1.1838696667011301,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p18000-s19000,iir-p18000-s19000,16000.0,-3.307643210277838e-13,1.263633357387729,True,diagnostic; no cross-rate product/filter acceptance
44100,96000,iir-p18000-s19000,iir-p18000-s19000,18000.0,3.317286484943244e-13,-0.8585917504856431,True,diagnostic; no cross-rate product/filter acceptance
