rate,delay_ms,mechanism,physical_range,magnitude_min_db,magnitude_max_db,ripple_db,valid_group_min_ms,valid_group_max_ms,reference_convergence
48000,0.0033692722371967652,D0-frozen-mechanism,True,-300.0,-27.53005548019347,272.4699445198065,0.0016846361119493673,0.0016846361465157988,9.297059134677217e-08
48000,0.010107816711590296,M0,True,0.0,0.0,0.0,-0.0,-0.0,1.9088548216152543e-07
48000,0.010107816711590296,M1,True,-1.9286549331065743e-15,1.928654933106574e-15,3.857309866213148e-15,0.010107816711590292,0.0101078167115903,1.9088548216152543e-07
48000,0.010107816711590296,M2,True,-1.9286549331065743e-15,0.6960775370642804,0.6960775370642823,0.010107816711590297,0.0333876605475102,1.9088548216152543e-07
48000,0.010107816711590296,M3,True,4.1366967804629855,6.020599913279624,1.8839031328166387,0.005053908355795147,0.00505390835579515,1.9088548216152543e-07
48000,0.010107816711590296,M4,True,-1.1240979420332906,6.020599913279623,7.144697855312914,0.005053908355795149,0.01464572683639488,1.9088548216152543e-07
48000,0.010107816711590296,D0-frozen-mechanism,True,-300.0,-18.51461196724637,281.48538803275363,0.005053908341078708,0.005053908357104696,1.9088548216152543e-07
48000,0.02021563342318059,M0,True,0.0,0.0,0.0,-0.0,-0.0,1.7781266176941084e-08
48000,0.02021563342318059,M1,True,-1.9286549331065743e-15,1.928654933106574e-15,3.857309866213148e-15,0.020215633423180585,0.0202156334231806,1.7781266176941084e-08
48000,0.02021563342318059,M2,True,-1.9286549331065743e-15,0.28219845459858456,0.2821984545985865,0.020215633423180595,0.021631437385979797,1.7781266176941084e-08
48000,0.02021563342318059,M3,True,-4.550529357632523,6.020599913279624,10.571129270912147,0.01010781671159029,0.010107816711590301,1.7781266176941084e-08
48000,0.02021563342318059,M4,True,-5.194031938867825,6.020599913279624,11.214631852147448,0.010107816711590296,0.013828379483104222,1.7781266176941084e-08
48000,0.02021563342318059,D0-frozen-mechanism,True,-300.0,-14.377915186783385,285.6220848132166,0.010107816707486983,0.010107816714209392,1.7781266176941084e-08
48000,0.03369272237196766,M0,True,0.0,0.0,0.0,-0.0,-0.0,1.7827139903843675e-07
48000,0.03369272237196766,M1,True,-1.9286549331065743e-15,1.928654933106574e-15,3.857309866213148e-15,0.03369272237196765,0.03369272237196767,1.7827139903843675e-07
48000,0.03369272237196766,M2,True,-6.849456748938691,0.0,6.849456748938691,0.03369272237196766,0.05032705060268994,1.7827139903843675e-07
