rate,kernel,frequency_hz,magnitude_error_db,phase_error_rad,group_delay_error_ns,complex_error
48000,lagrange-g8,4000.0,5.297436504779981e-11,2.0607296484025547e-11,1.36195869397208e-05,2.126820187163966e-11
48000,lagrange-g8,8000.0,8.023845655059432e-06,1.5100033564233907e-06,0.4644770401629472,1.7015103038513305e-06
48000,lagrange-g8,12000.0,0.0047329680936413964,0.0005731724266112008,103.50384007821549,0.000731192683637384
48000,lagrange-g8,16000.0,0.23310520064209958,0.02093588306131872,2351.8415512999713,0.030074998304586365
48000,lagrange-g8,18000.0,0.9180543615844776,0.07421265714492392,6720.566067226633,0.10868888996898285
48000,lagrange-g8,20000.0,2.823606685637152,0.21024056045492687,16128.591103445222,0.29177375757901114
48000,hann-g8,1000.0,0.0017011788360202736,8.224630745284114e-06,3.6397220734378046,0.0001958362849384552
48000,hann-g8,2000.0,0.005174046363486943,4.639979147760711e-05,7.4152644243818955,0.0005955068418935871
48000,hann-g8,4000.0,0.005015117694360735,2.7099233914322583e-05,15.959110033307114,0.0005772201503560634
48000,hann-g8,8000.0,0.007342396810559246,0.00019809564672828932,43.50321294884404,0.0008449691124165777
48000,hann-g8,12000.0,0.010684687927652554,0.0007507110443547892,7.401486830834377e-11,0.0012308932183304362
48000,hann-g8,16000.0,0.012134303109791711,0.0004846680401402603,445.13710841798115,0.0013960438433420423
48000,hann-g8,18000.0,0.1064807507748191,0.006285788694708862,1.1102230246251565e-10,0.012334614056333968
48000,hann-g8,20000.0,0.5251406059198785,0.030019450015307064,7483.882005470677,0.05866823155894192
48000,kaiser-g8,1000.0,0.00011027019885036537,4.390188001062089e-05,3.9071800452076624,4.568201236624931e-05
48000,kaiser-g8,2000.0,0.00030790602862096046,3.9524133500943756e-05,5.20710583943688,5.28692907791475e-05
48000,kaiser-g8,4000.0,0.00022900280887716825,4.962607015505955e-05,2.637524159447106,5.371238266479476e-05
48000,kaiser-g8,8000.0,0.0003238494121902023,2.5062357851807033e-05,9.949923732451479,4.4923169807585544e-05
48000,kaiser-g8,12000.0,0.0010201722710054025,7.311402666134376e-05,4.593333281547688,0.00011746025684517297
48000,kaiser-g8,16000.0,0.0014849189920152369,5.999883872240997e-05,28.135214411066183,0.00017097313754820066
48000,kaiser-g8,18000.0,0.13471152361298583,0.007739439700411768,1799.6787714602558,0.015389727917946591
48000,kaiser-g8,20000.0,1.2142771227538367,0.06984214627692738,9549.866491991595,0.13046819477754198
48000,lagrange-g16,1000.0,4.821637332766436e-15,5.497227405468008e-16,2.220446049250313e-10,6.753223014464258e-16
48000,lagrange-g16,2000.0,5.785964799319721e-15,7.778661152558791e-16,2.220446049250313e-10,8.968100940422724e-16
48000,lagrange-g16,4000.0,5.785964799319721e-15,1.4107039227775403e-15,1.4802973661668753e-10,1.4475537224895361e-15
48000,lagrange-g16,8000.0,8.935844036115343e-11,1.6479858307902295e-11,9.828878451874818e-06,1.8639817799354015e-11
48000,lagrange-g16,12000.0,1.365481658378894e-05,1.6158866448186763e-06,0.561829590480419,2.078449516858487e-06
48000,lagrange-g16,16000.0,0.017537320553787237,0.0015266524990518455,318.06766790598573,0.0022570858167533453
48000,lagrange-g16,18000.0,0.19427257074180643,0.01509307210913441,2393.073708640688,0.023600966009498965
48000,lagrange-g16,20000.0,1.2132594277392965,0.08638218020166176,10509.17449057594,0.1350434972056207
48000,hann-g16,1000.0,0.0006299660812931621,2.8145221543200654e-06,0.8918721641215654,7.252489911371497e-05
48000,hann-g16,2000.0,0.0006254544497839364,1.7687502679905464e-06,1.8156771886731113,7.200551360091187e-05
48000,hann-g16,4000.0,0.0006791694683161327,8.349264968136678e-06,3.901900727261894,7.818924867002174e-05
48000,hann-g16,8000.0,0.0007635746201854163,1.4645929512692625e-05,10.54893087933569,8.790599799107447e-05
48000,hann-g16,12000.0,0.0013451388470601716,9.443424300334318e-05,2.220446049250313e-10,0.00015487885725208836
48000,hann-g16,16000.0,0.004204495988696048,0.00021570486252580118,98.95709272900177,0.0004839467795898726
48000,hann-g16,18000.0,0.01322888779735784,0.0007810776289350886,2.220446049250313e-10,0.0015242066977478436
48000,hann-g16,20000.0,0.009098366694402801,0.0004977796800842755,897.4093167827639,0.0010469482129712852
48000,kaiser-g16,1000.0,0.0004691624712333226,1.3987803144317951e-05,2.5147382023416043,5.401588525099484e-05
48000,kaiser-g16,2000.0,0.0004070563521458589,1.3691601792938612e-05,2.907855245630013,4.68653062978553e-05
48000,kaiser-g16,4000.0,0.0005320670087740161,1.546240733676007e-05,2.404681986793259,6.12584628848126e-05
48000,kaiser-g16,8000.0,0.00024323679631230283,1.803697274613313e-05,4.1853274949469705,3.2663744694845275e-05
48000,kaiser-g16,12000.0,0.00013929338064364152,4.338728888647165e-06,10.5949593094401,1.6036933981943824e-05
48000,kaiser-g16,16000.0,0.0006397859597650396,1.808359062088877e-05,17.254902862381034,7.366090300070959e-05
48000,kaiser-g16,18000.0,0.0012816893038458481,6.850644072072062e-05,6.8681628239512325,0.0001475720225577624
48000,kaiser-g16,20000.0,0.0015656128934895003,6.38825190896132e-05,57.63750866627504,0.00018026493064281804
48000,lagrange-g32,1000.0,5.785964799319721e-15,8.031882747689839e-16,5.921189464667501e-10,8.252325904466732e-16
48000,lagrange-g32,2000.0,5.785964799319721e-15,1.3224363328827822e-15,4.440892098500626e-10,1.355199909595506e-15
48000,lagrange-g32,4000.0,5.785964799319721e-15,2.322108056964879e-15,5.921189464667501e-10,2.3247605846675214e-15
48000,lagrange-g32,8000.0,6.7502922658730125e-15,4.6442160858056166e-15,5.921189464667501e-10,4.6455429163805275e-15
48000,lagrange-g32,12000.0,1.510339321403555e-10,1.7644492116372643e-11,1.2020310672748261e-05,2.2799072057676498e-11
48000,lagrange-g32,16000.0,0.0001297448345810091,1.111755011518647e-05,4.464027021070886,1.6591623054081355e-05
48000,lagrange-g32,18000.0,0.011515496921319065,0.0008771808596346826,260.27419542288635,0.0014034007389777453
48000,lagrange-g32,20000.0,0.29809472179769086,0.02065974411412958,4332.083436554779,0.03468359636989165
48000,hann-g32,1000.0,7.809945578919283e-05,1.1152808643555494e-07,0.22185157740513736,8.991491757628056e-06
48000,hann-g32,2000.0,7.966294619256542e-05,4.748004635595148e-07,0.4516109755788496,9.171494410465055e-06
48000,hann-g32,4000.0,8.177560128502845e-05,7.350086842966305e-07,0.9701130518161941,9.414721693855532e-06
48000,hann-g32,8000.0,0.00010537815936804856,2.4738078134755766e-06,2.6177037667866427,1.213205299187129e-05
48000,hann-g32,12000.0,0.0001685981902313354,1.18321352136999e-05,4.440892098500626e-10,1.9411026936231238e-05
48000,hann-g32,16000.0,0.0003597677164212098,1.7387963943714164e-05,24.06501612606249,4.141919103163374e-05
48000,hann-g32,18000.0,0.0016640086322681914,9.823520507181982e-05,5.921189464667501e-10,0.00019159622540936965
48000,hann-g32,20000.0,0.003828964412515123,0.00021718630868553407,199.6906020605612,0.00044073250318787445
48000,kaiser-g32,1000.0,0.0002774626364650618,3.438815582604689e-06,1.6389326010409397,3.194458728568224e-05
48000,kaiser-g32,2000.0,0.00029518674458995714,4.173202774099203e-06,0.8659016654810614,3.398522189673333e-05
48000,kaiser-g32,4000.0,0.00026128544293293457,3.0720557204179384e-06,2.573507397851671,3.0082059973258362e-05
48000,kaiser-g32,8000.0,0.00034985099504748583,7.111302250102843e-06,0.33719670818517977,4.027893258437914e-05
48000,kaiser-g32,12000.0,4.135045145435747e-05,5.994528390638848e-06,6.2545306104648075,6.464578895022938e-06
48000,kaiser-g32,16000.0,8.448120553368142e-05,1.3095297408698416e-05,10.588850696269247,1.6078164072467063e-05
48000,kaiser-g32,18000.0,6.078197305590354e-05,1.7693238900499457e-06,20.149917995630297,6.9978077532465304e-06
48000,kaiser-g32,20000.0,0.0005682488817100557,1.9682926156035275e-05,31.362375968383795,6.542439743513689e-05
48000,lagrange-g64,1000.0,7.7146197324263e-15,1.6719181279562591e-15,1.1842378929335002e-09,1.6946818973100074e-15
48000,lagrange-g64,2000.0,7.7146197324263e-15,3.3743734957935288e-15,8.881784197001252e-10,3.4056894305085558e-15
48000,lagrange-g64,4000.0,1.2536257065192741e-14,6.417441200168092e-15,1.1842378929335002e-09,6.4373790806034785e-15
48000,lagrange-g64,8000.0,9.643274665532877e-15,1.179611983648358e-14,1.1842378929335002e-09,1.1843535355188972e-14
