rate,conditioner,kernel,stage,passed,worst_error,kernel_max_gain_db,ultrasonic_core_error,ultrasonic_reference_convergence,tier_c_probe_pass
48000,fir65-fc20000,lagrange-g0,frozen Tier A kernel rejection,False,,,,,False
48000,fir65-fc20000,lagrange-g8,frozen Tier A kernel rejection,False,,,,,False
48000,fir65-fc20000,hann-g8,frozen Tier A kernel rejection,False,,,,,False
48000,fir65-fc20000,kaiser-g8,actual and Tier C,False,0.02286428757118022,0.0017706347545045026,1.409416208399938e-09,2.0592884619855997e-05,True
48000,fir65-fc20000,lagrange-g16,frozen Tier A kernel rejection,False,,,,,False
48000,fir65-fc20000,hann-g16,frozen Tier A kernel rejection,False,,,,,False
48000,fir65-fc20000,kaiser-g16,actual and Tier C,True,0.00011054581642115607,0.0018760698606006202,4.4636505612313227e-10,2.0592884619855997e-05,True
96000,raw-control,lagrange-g0,frozen Tier A kernel rejection,False,,,,,False
96000,raw-control,lagrange-g8,frozen Tier A kernel rejection,False,,,,,False
96000,raw-control,hann-g8,actual and Tier C,False,0.013701483557744306,0.10647969268438637,2.615761197370658e-11,3.257767531504265e-06,False
96000,raw-control,kaiser-g8,actual and Tier C,False,0.014801793549224274,0.0017707635823964625,1.4077112849646001e-09,3.257767531504265e-06,True
96000,raw-control,lagrange-g16,actual and Tier C,False,0.014771474732030923,7.714619732426294e-15,6.511850500508993e-08,3.257767531504265e-06,True
96000,raw-control,hann-g16,actual and Tier C,False,0.009644966996786485,0.10923434099875824,1.1655063402926631e-11,3.257767531504265e-06,False
96000,raw-control,kaiser-g16,actual and Tier C,False,0.010396033688598481,0.0018762209583905497,1.4038103835599541e-09,3.257767531504265e-06,True
96000,raw-control,lagrange-g32,actual and Tier C,False,0.012364907084528788,1.735789439795915e-14,3.978124136761184e-08,3.257767531504265e-06,True
96000,raw-control,hann-g32,actual and Tier C,False,0.006826209432828903,0.10958935614455322,6.632656373865755e-12,3.257767531504265e-06,False
96000,raw-control,kaiser-g32,actual and Tier C,False,0.007353488130515472,0.0017087295707122782,6.70866324934197e-12,3.257767531504265e-06,True
96000,raw-control,lagrange-g64,actual and Tier C,False,0.010379473617559396,3.664444372902484e-14,2.111959701145074e-08,3.257767531504265e-06,True
96000,raw-control,hann-g64,actual and Tier C,False,0.00483531188012941,0.10963433096840727,6.612106779070748e-12,3.257767531504265e-06,False
96000,raw-control,kaiser-g64,actual and Tier C,True,0.005208393801141997,0.00160789014046526,6.661588966226197e-12,3.257767531504265e-06,True
96000,butter4-fc20000,lagrange-g0,frozen Tier A kernel rejection,False,,,,,False
96000,butter4-fc20000,lagrange-g8,frozen Tier A kernel rejection,False,,,,,False
96000,butter4-fc20000,hann-g8,actual and Tier C,False,0.0005865591727138826,0.10647969268438637,4.3965530570814066e-11,2.748549239106646e-07,False
96000,butter4-fc20000,kaiser-g8,actual and Tier C,True,5.772250905050848e-05,0.0017707635823964625,1.4278020653420174e-09,2.748549239106646e-07,True
